☘️4GTV,#genre# 
民视影剧,http://66123.ddns.net:36666/litv.php?id=litv-ftv09
半岛新闻,http://66123.ddns.net:36666/litv.php?id=litv-ftv10
民视新闻台,http://66123.ddns.net:36666/litv.php?id=litv-ftv13
爱放动漫,http://66123.ddns.net:36666/litv.php?id=litv-ftv15
好讯息,http://66123.ddns.net:36666/litv.php?id=litv-ftv16
好讯息2台,http://66123.ddns.net:36666/litv.php?id=litv-ftv17
龙华卡通,http://66123.ddns.net:36666/litv.php?id=litv-longturn01
龙华电影,http://66123.ddns.net:36666/litv.php?id=litv-longturn03
博斯魅力,http://66123.ddns.net:36666/litv.php?id=litv-longturn04
博斯高球1,http://66123.ddns.net:36666/litv.php?id=litv-longturn05
博斯高球2,http://66123.ddns.net:36666/litv.php?id=litv-longturn06
博斯运动1,http://66123.ddns.net:36666/litv.php?id=litv-longturn07
博斯运动2,http://66123.ddns.net:36666/litv.php?id=litv-longturn08
博斯网球,http://66123.ddns.net:36666/litv.php?id=litv-longturn09
博斯无限,http://66123.ddns.net:36666/litv.php?id=litv-longturn10
龙华日韩,http://66123.ddns.net:36666/litv.php?id=litv-longturn11
龙华偶像,http://66123.ddns.net:36666/litv.php?id=litv-longturn12
博斯无限2,http://66123.ddns.net:36666/litv.php?id=litv-longturn13
寰宇新闻台,http://66123.ddns.net:36666/litv.php?id=litv-longturn14
寰宇新闻台湾台,http://66123.ddns.net:36666/litv.php?id=litv-longturn15
亚洲旅游台,http://66123.ddns.net:36666/litv.php?id=litv-longturn17
龙华戏剧,http://66123.ddns.net:36666/litv.php?id=litv-longturn18
Smart知识台,http://66123.ddns.net:36666/litv.php?id=litv-longturn19
生活英语台,http://66123.ddns.net:36666/litv.php?id=litv-longturn20
龙华经典,http://66123.ddns.net:36666/litv.php?id=litv-longturn21
台湾戏剧台,http://66123.ddns.net:36666/litv.php?id=litv-longturn22
民视第一台,http://95.179.139.113:5566/4gtv/1
民视台湾台,http://95.179.139.113:5566/4gtv/2
中视,http://95.179.139.113:5566/4gtv/4
华视,http://95.179.139.113:5566/4gtv/6
公视戏剧,http://95.179.139.113:5566/4gtv/7
好消息2台,http://95.179.139.113:5566/4gtv/8
好消息,http://95.179.139.113:5566/4gtv/9
达文西频道,http://95.179.139.113:5566/4gtv/11
靖天卡通台,http://95.179.139.113:5566/4gtv/15
民视综艺台,http://95.179.139.113:5566/4gtv/16
爱尔达娱乐台,http://95.179.139.113:5566/4gtv/19
靖天综合台,http://95.179.139.113:5566/4gtv/21
靖天日本台,http://95.179.139.113:5566/4gtv/22
龙华戏剧台,http://95.179.139.113:5566/4gtv/23
民视影剧台,http://95.179.139.113:5566/4gtv/24
龙华日韩台,http://95.179.139.113:5566/4gtv/28
中天新闻台,http://95.179.139.113:5566/4gtv/30
民视新闻台,http://95.179.139.113:5566/4gtv/31
中视新闻,http://95.179.139.113:5566/4gtv/33
华视新闻,http://95.179.139.113:5566/4gtv/34
寰宇新闻台,http://95.179.139.113:5566/4gtv/36
视纳华仁纪实频道,http://95.179.139.113:5566/4gtv/38
amc电影台,http://95.179.139.113:5566/4gtv/39
影迷数位电影台,http://95.179.139.113:5566/4gtv/40
靖天映画,http://95.179.139.113:5566/4gtv/42
博斯高球台,http://95.179.139.113:5566/4gtv/48
博斯运动一台,http://95.179.139.113:5566/4gtv/50
博斯无限台,http://95.179.139.113:5566/4gtv/51
博斯网球台,http://95.179.139.113:5566/4gtv/52
TRACE Sport Stars,http://95.179.139.113:5566/4gtv/57
智林体育台,http://95.179.139.113:5566/4gtv/58
靖洋卡通Nice Bingo,http://95.179.139.113:5566/4gtv/59
i-Fun动漫台,http://95.179.139.113:5566/4gtv/60
民视旅游台,http://95.179.139.113:5566/4gtv/61
时尚运动X,http://95.179.139.113:5566/4gtv/69
TRACE Urban,http://95.179.139.113:5566/4gtv/78
Mezzo Live HD,http://95.179.139.113:5566/4gtv/79
CLASSICA 古典乐,http://95.179.139.113:5566/4gtv/80
靖天电影台,http://95.179.139.113:5566/4gtv/82
靖天育乐台,http://95.179.139.113:5566/4gtv/83
KLT-靖天国际台,http://95.179.139.113:5566/4gtv/84
半岛国际新闻台,http://95.179.139.113:5566/4gtv/85
VOA美国之音,http://95.179.139.113:5566/4gtv/86
靖天资讯台,http://95.179.139.113:5566/4gtv/88
凤梨直击台,http://95.179.139.113:5566/4gtv/93
香蕉直击台,http://95.179.139.113:5566/4gtv/94
ELTV生活英语台,http://95.179.139.113:5566/4gtv/106
客家电视台,http://95.179.139.113:5566/4gtv/107
猪哥亮歌厅秀,http://95.179.139.113:5566/4gtv/113
八大综艺台,http://95.179.139.113:5566/4gtv/114
靖天戏剧台,http://95.179.139.113:5566/4gtv/116
靖洋戏剧台,http://95.179.139.113:5566/4gtv/118
Nice TV 靖天欢乐,http://95.179.139.113:5566/4gtv/119
龙华电影台,http://95.179.139.113:5566/4gtv/121
中视菁采台,http://95.179.139.113:5566/4gtv/123
中视经典台,http://95.179.139.113:5566/4gtv/124
Love Nature,http://95.179.139.113:5566/4gtv/139
车迷TV,http://95.179.139.113:5566/4gtv/160
幸福空间居家台,http://95.179.139.113:5566/4gtv/168
三立综合台,http://95.179.139.113:5566/4gtv/169
国会频道1,http://95.179.139.113:5566/4gtv/170
国会频道2,http://95.179.139.113:5566/4gtv/171
八大精彩台,http://95.179.139.113:5566/4gtv/172
东森购物一台,http://95.179.139.113:5566/4gtv/173
东森购物二台,http://95.179.139.113:5566/4gtv/174
LUXE TV Channel,http://95.179.139.113:5566/4gtv/175
My Cinema Europe HD 我的欧洲电,http://95.179.139.113:5566/4gtv/176
TV5MONDE STYLE HD 生活时尚,http://95.179.139.113:5566/4gtv/178
GINX Esports TV,http://95.179.139.113:5566/4gtv/179
ROCK Action,http://95.179.139.113:5566/4gtv/180
TechStorm,http://95.179.139.113:5566/4gtv/181
Pet Club TV,http://95.179.139.113:5566/4gtv/182
TVBS,http://95.179.139.113:5566/4gtv/183
TVBS欢乐台,http://95.179.139.113:5566/4gtv/184
尼克儿童频道,http://95.179.139.113:5566/4gtv/185
HITS频道,http://95.179.139.113:5566/4gtv/186
LiveABC互动英语频道,http://95.179.139.113:5566/4gtv/188
ARIRANG阿里郎频道,http://95.179.139.113:5566/4gtv/189
经典电影台,http://95.179.139.113:5566/4gtv/201
经典卡通台,http://95.179.139.113:5566/4gtv/202
精选动漫台,http://95.179.139.113:5566/4gtv/204
大爱电视,http://95.179.139.113:5566/4gtv/209
人间卫视,http://95.179.139.113:5566/4gtv/210
影迷数位纪实台,http://95.179.139.113:5566/4gtv/212
MTV Live HD 音乐频道,http://95.179.139.113:5566/4gtv/213
History 历史频道,http://95.179.139.113:5566/4gtv/214
CI 罪案侦查频道,http://95.179.139.113:5566/4gtv/215
Lifetime 娱乐频道,http://95.179.139.113:5566/4gtv/217
电影原声台CMusic,http://95.179.139.113:5566/4gtv/218
Nick Jr.儿童频道,http://95.179.139.113:5566/4gtv/219
XTR亚太台,http://95.179.139.113:5566/4gtv/223
SBN全球财经台,http://95.179.139.113:5566/4gtv/224
CinemaWorld,http://95.179.139.113:5566/4gtv/225
DW德国之声,http://95.179.139.113:5566/4gtv/226
TVBS精采台,http://95.179.139.113:5566/4gtv/227
三立新闻iNEWS,http://95.179.139.113:5566/4gtv/229
大爱二台,http://95.179.139.113:5566/4gtv/230
MOMO亲子台,http://95.179.139.113:5566/4gtv/231
CNBC Asia 财经台,http://95.179.139.113:5566/4gtv/235
金光布袋戏,http://95.179.139.113:5566/4gtv/236
爱尔达生活旅游,http://95.179.139.113:5566/4gtv/237
戏剧免费看 2台,http://95.179.139.113:5566/4gtv/244
电影免费看 2台,http://95.179.139.113:5566/4gtv/245
民视,http://95.179.139.113:5566/4gtv/246
滚动力rollor,http://95.179.139.113:5566/4gtv/249
亚洲旅游台,http://95.179.139.113:5566/4gtv/250
Global Trekker,http://95.179.139.113:5566/4gtv/252
民视第一台,http://95.179.139.113:5566/4gtv/254
民视台湾台,http://95.179.139.113:5566/4gtv/255
华视新闻,http://95.179.139.113:5566/4gtv/256
民视新闻台,http://95.179.139.113:5566/4gtv/257
中视新闻,http://95.179.139.113:5566/4gtv/258
中天新闻台,http://95.179.139.113:5566/4gtv/260
亚洲旅游台,http://95.179.139.113:5566/4gtv/261
镜电视新闻台,http://95.179.139.113:5566/4gtv/268
儿童卡通台,http://95.179.139.113:5566/4gtv/269
戏剧免费看 1台,http://95.179.139.113:5566/4gtv/270
原住民族电视台,http://95.179.139.113:5566/4gtv/273
fun探索娱乐台,http://95.179.139.113:5566/4gtv/274
ROCK Entertainment,http://95.179.139.113:5566/4gtv/275
时尚运动X,http://95.179.139.113:5566/4gtv/277
超人力霸王整套看,http://95.179.139.113:5566/4gtv/278
花系列 经典剧场,http://95.179.139.113:5566/4gtv/279
寰宇新闻台湾台,http://95.179.139.113:5566/4gtv/280
寰宇财经台,http://95.179.139.113:5566/4gtv/281
DreamWorks 梦工厂动画,http://95.179.139.113:5566/4gtv/282
Bloomberg TV,http://95.179.139.113:5566/4gtv/283
TVBS综艺台,http://95.179.139.113:5566/4gtv/284
TVBS台剧台,http://95.179.139.113:5566/4gtv/285
东森购物四台,http://95.179.139.113:5566/4gtv/286
东森购物三台,http://95.179.139.113:5566/4gtv/287
Globetrotter 环游旅行家,http://95.179.139.113:5566/4gtv/288
TVBS新闻台,http://95.179.139.113:5566/4gtv/291
东森新闻台,http://95.179.139.113:5566/4gtv/292
东森财经新闻台,http://95.179.139.113:5566/4gtv/293
民视,http://209.146.124.22:8891/litv/4gtv-4gtv155
民视第一台,http://209.146.124.22:8891/litv/4gtv-4gtv003
民视新闻台,http://209.146.124.22:8891/litv/litv-ftv13
民视台湾台,http://209.146.124.22:8891/litv/4gtv-4gtv001
民视影剧台,http://209.146.124.22:8891/litv/litv-ftv09
民视旅游台,http://209.146.124.22:8891/litv/litv-ftv07
民视综艺台,http://209.146.124.22:8891/litv/4gtv-4gtv004
中视,http://209.146.124.22:8891/litv/4gtv-4gtv040
中视新闻台,http://209.146.124.22:8891/litv/4gtv-4gtv074
中视经典台,http://209.146.124.22:8891/litv/4gtv-4gtv080
中视菁采台,http://209.146.124.22:8891/litv/4gtv-4gtv064
中天新闻台,http://209.146.124.22:8891/litv/4gtv-4gtv009
中天亚洲台,http://209.146.124.22:8891/litv/4gtv-4gtv109
华视,http://209.146.124.22:8891/litv/4gtv-4gtv041
华视新闻,http://209.146.124.22:8891/litv/4gtv-4gtv052
靖天综合台,http://209.146.124.22:8891/litv/4gtv-4gtv046
靖天国际台,http://209.146.124.22:8891/litv/4gtv-4gtv063
靖天戏剧台,http://209.146.124.22:8891/litv/4gtv-4gtv058
靖天日本台,http://209.146.124.22:8891/litv/4gtv-4gtv047
靖天映画台,http://209.146.124.22:8891/litv/4gtv-4gtv055
靖天卡通台,http://209.146.124.22:8891/litv/4gtv-4gtv044
靖天育乐台,http://209.146.124.22:8891/litv/4gtv-4gtv062
靖天资讯台,http://209.146.124.22:8891/litv/4gtv-4gtv065
靖天电影台,http://209.146.124.22:8891/litv/4gtv-4gtv061
靖天欢乐台,http://209.146.124.22:8891/litv/4gtv-4gtv054
龙华偶像台,http://209.146.124.22:8891/litv/litv-longturn12
龙华卡通台,http://209.146.124.22:8891/litv/litv-longturn01
龙华戏剧台,http://209.146.124.22:8891/litv/litv-longturn18
龙华日韩台,http://209.146.124.22:8891/litv/litv-longturn11
龙华经典台,http://209.146.124.22:8891/litv/litv-longturn21
龙华电影台,http://209.146.124.22:8891/litv/litv-longturn03
靖洋戏剧台,http://209.146.124.22:8891/litv/4gtv-4gtv045
靖洋卡通 Nice Bingo,http://209.146.124.22:8891/litv/4gtv-4gtv057
寰宇新闻台,http://209.146.124.22:8891/litv/litv-longturn14
寰宇新闻台湾台,http://209.146.124.22:8891/litv/litv-longturn15
寰宇财经台,http://209.146.124.22:8891/litv/litv-longturn23
TVBS,http://209.146.124.22:8891/litv/4gtv-4gtv073
TVBS 新闻台,http://209.146.124.22:8891/litv/4gtv-4gtv072
TVBS 综艺台,http://209.146.124.22:8891/4gtv/284
TVBS 欢乐台,http://209.146.124.22:8891/litv/4gtv-4gtv068
TVBS 精采台,http://209.146.124.22:8891/litv/4gtv-4gtv067
TVBS 台剧台,http://209.146.124.22:8891/4gtv/285
八大精彩台,http://209.146.124.22:8891/litv/4gtv-4gtv034
八大综艺台,http://209.146.124.22:8891/litv/4gtv-4gtv039
三立新闻,http://209.146.124.22:8891/4gtv/229
三立综合台,http://209.146.124.22:8891/4gtv/169
台视,http://209.146.124.22:8891/litv/4gtv-4gtv066
台视新闻台,http://209.146.124.22:8891/litv/4gtv-4gtv051
台视财经台,http://209.146.124.22:8891/litv/4gtv-4gtv056
博斯运动一台,http://209.146.124.22:8891/litv/litv-longturn07
博斯运动二台,http://209.146.124.22:8891/litv/litv-longturn08
博斯无限台,http://209.146.124.22:8891/litv/litv-longturn10
博斯无限二台,http://209.146.124.22:8891/litv/litv-longturn13
博斯网球台,http://209.146.124.22:8891/litv/litv-longturn09
博斯高球台,http://209.146.124.22:8891/litv/litv-longturn05
博斯高球二台,http://209.146.124.22:8891/litv/litv-longturn06
博斯魅力台,http://209.146.124.22:8891/litv/litv-longturn04
ELTA 娱乐台,http://209.146.124.22:8891/litv/4gtv-4gtv070
ELTA 生活旅游,http://209.146.124.22:8891/4gtv/237
ELTA生活英语,http://209.146.124.22:8891/litv/litv-longturn20
东森新闻,http://209.146.124.22:8891/litv/4gtv-4gtv152
东森财经新闻,http://209.146.124.22:8891/litv/4gtv-4gtv153
非凡新闻台,http://209.146.124.22:8891/litv/4gtv-4gtv010
非凡商业台,http://209.146.124.22:8891/litv/4gtv-4gtv048
镜电视新闻台,http://209.146.124.22:8891/litv/4gtv-4gtv075
CNBC Asia 财经台,http://209.146.124.22:8891/4gtv/235
亚洲旅游台,http://209.146.124.22:8891/litv/litv-longturn17
GINX Esports TV,http://209.146.124.22:8891/litv/4gtv-4gtv053
TechStorm,http://209.146.124.22:8891/4gtv/181
时尚运动X,http://209.146.124.22:8891/4gtv/277
智林体育台,http://209.146.124.22:8891/litv/4gtv-4gtv101
TraceSports,http://209.146.124.22:8891/litv/4gtv-4gtv077
影迷数位纪实台,http://209.146.124.22:8891/4gtv/212
影迷数位电影台,http://209.146.124.22:8891/litv/4gtv-4gtv011
AMC 最爱电影,http://209.146.124.22:8891/litv/4gtv-4gtv017
CatchPlay 电影台,http://209.146.124.22:8891/litv/4gtv-4gtv076
My Cinema Europe HD 我的欧洲电影,http://209.146.124.22:8891/4gtv/176
公视戏剧台,http://209.146.124.22:8891/litv/4gtv-4gtv042
采昌影剧台,http://209.146.124.22:8891/litv/4gtv-4gtv049
台湾戏剧台,http://209.146.124.22:8891/litv/litv-longturn22
戏剧免费看 1台,http://209.146.124.22:8891/4gtv/270
戏剧免费看 2台,http://209.146.124.22:8891/4gtv/244
经典电影台,http://209.146.124.22:8891/4gtv/201
电影免费看 2台,http://209.146.124.22:8891/4gtv/245
电影原声台 CMusic,http://209.146.124.22:8891/4gtv/218
花系列 经典剧场,http://209.146.124.22:8891/4gtv/279
CinemaWorld,http://209.146.124.22:8891/4gtv/225
HITS 频道,http://209.146.124.22:8891/4gtv/186
Rock Action,http://209.146.124.22:8891/4gtv/180
Rock Entertainment,http://209.146.124.22:8891/4gtv/275
金光布袋戏,http://209.146.124.22:8891/4gtv/236
霹雳布袋戏,http://209.146.124.22:8891/4gtv/301
DreamWorks 梦工厂动画,http://209.146.124.22:8891/4gtv/282
Nickelodeon,http://209.146.124.22:8891/4gtv/185
Nick Jr. 儿童频道,http://209.146.124.22:8891/4gtv/219
i-Fun 动漫台,http://209.146.124.22:8891/litv/litv-ftv15
儿童卡通台,http://209.146.124.22:8891/4gtv/269
精选动漫台,http://209.146.124.22:8891/4gtv/204
经典卡通台,http://209.146.124.22:8891/4gtv/202
达文西频道,http://209.146.124.22:8891/litv/4gtv-4gtv018
超人力霸王整套看,http://209.146.124.22:8891/4gtv/278
MOMO 亲子台,http://209.146.124.22:8891/4gtv/231
LiveABC 互动英语台,http://209.146.124.22:8891/4gtv/188
Classica 古典乐,http://209.146.124.22:8891/litv/4gtv-4gtv059
Lifetime 娱乐频道,http://209.146.124.22:8891/4gtv/217
MTV Live HD 音乐频道,http://209.146.124.22:8891/4gtv/213
Mezzo Live,http://209.146.124.22:8891/litv/4gtv-4gtv083
猪哥亮歌厅秀,http://209.146.124.22:8891/litv/4gtv-4gtv006
Trace Urban,http://209.146.124.22:8891/litv/4gtv-4gtv082
Global Trekker,http://209.146.124.22:8891/4gtv/252
Globetrotter 环游旅行家,http://209.146.124.22:8891/litv/4gtv-4gtv016
LUXE TV,http://209.146.124.22:8891/4gtv/175
Pet Club TV,http://209.146.124.22:8891/4gtv/182
TV5MONDE Style,http://209.146.124.22:8891/4gtv/178
车迷 TV,http://209.146.124.22:8891/4gtv/160
Love Nature,http://209.146.124.22:8891/4gtv/139
Fun 探索娱乐台,http://209.146.124.22:8891/4gtv/274
幸福空间居家台,http://209.146.124.22:8891/4gtv/168
Arirang TV,http://209.146.124.22:8891/litv/4gtv-4gtv079
Bloomberg TV,http://209.146.124.22:8891/4gtv/283
VOA 美国之音,http://209.146.124.22:8891/litv/litv-ftv03
DW德国之声,http://209.146.124.22:8891/4gtv/226
SBN 全球财经台,http://209.146.124.22:8891/4gtv/224
半岛国际新闻台,http://209.146.124.22:8891/litv/litv-ftv10
第1商业台,http://209.146.124.22:8891/litv/4gtv-4gtv104
History 历史频道,http://209.146.124.22:8891/4gtv/214
CI 罪案侦查频道,http://209.146.124.22:8891/4gtv/215
Smart 知识台,http://209.146.124.22:8891/litv/litv-longturn19
视纳华仁纪实频道,http://209.146.124.22:8891/litv/4gtv-4gtv013
原住民族电视台,http://209.146.124.22:8891/4gtv/273
客家电视台,http://209.146.124.22:8891/litv/4gtv-4gtv043
滚动力 Rollor,http://209.146.124.22:8891/4gtv/249
好消息,http://209.146.124.22:8891/litv/litv-ftv16
好消息2台,http://209.146.124.22:8891/litv/litv-ftv17
大爱电视,http://209.146.124.22:8891/4gtv/209
大爱电视2,http://209.146.124.22:8891/4gtv/230
人间卫视,http://209.146.124.22:8891/4gtv/210
国会频道1,http://209.146.124.22:8891/litv/4gtv-4gtv084
国会频道2,http://209.146.124.22:8891/litv/4gtv-4gtv085
🌺149,#genre# 
爱尔达综合台,http://149.104.24.69:5000/hami/OTT_LIVE_0000001573
爱尔达娱乐台,http://149.104.24.69:5000/hami/OTT_LIVE_0000001518
爱尔达影剧台,http://149.104.24.69:5000/hami/OTT_LIVE_0000001517
爱尔达日韩台,http://149.104.24.69:5000/hami/OTT_LIVE_0000002079
Hami 韩剧台,http://149.104.24.69:5000/hami/OTT_LIVE_0000002073
Hami 韩剧台(免费),http://149.104.24.69:5000/hami/OTT_LIVE_0000002072
Rock Action,http://149.104.24.69:5000/hami/OTT_LIVE_0000002005
Rock Entertainment,http://149.104.24.69:5000/hami/OTT_LIVE_0000001860
Rock Extreme,http://149.104.24.69:5000/hami/OTT_LIVE_0000001861
tvN,http://149.104.24.69:5000/hami/OTT_LIVE_0000001884
Warner TV,http://149.104.24.69:5000/hami/OTT_LIVE_0000001888
爱尔达体育1台,http://149.104.24.69:5000/hami/OTT_LIVE_0000001744
爱尔达体育2台,http://149.104.24.69:5000/hami/OTT_LIVE_0000001743
爱尔达体育3台,http://149.104.24.69:5000/hami/OTT_LIVE_0000001745
爱尔达体育4台,http://149.104.24.69:5000/hami/OTT_LIVE_0000002055
爱尔达体育MAX1台,http://149.104.24.69:5000/hami/OTT_LIVE_0000001853
爱尔达体育MAX2台,http://149.104.24.69:5000/hami/OTT_LIVE_0000001854
爱尔达体育MAX3台,http://149.104.24.69:5000/hami/OTT_LIVE_0000001855
爱尔达体育MAX4台,http://149.104.24.69:5000/hami/OTT_LIVE_0000001856
爱尔达奥运1台,http://149.104.24.69:5000/hami/OTT_LIVE_0000001942
爱尔达奥运2台,http://149.104.24.69:5000/hami/OTT_LIVE_0000001943
爱尔达奥运3台,http://149.104.24.69:5000/hami/OTT_LIVE_0000001944
爱尔达奥运4台(羽球+),http://149.104.24.69:5000/hami/OTT_LIVE_0000002047
爱尔达奥运5台(桌球+),http://149.104.24.69:5000/hami/OTT_LIVE_0000002048
爱尔达奥运6台(网球+),http://149.104.24.69:5000/hami/OTT_LIVE_0000002049
爱尔达奥运7台(高球+),http://149.104.24.69:5000/hami/OTT_LIVE_0000002050
Hami奥运1台(免费),http://149.104.24.69:5000/hami/OTT_LIVE_0000001945
Hami奥运2台(免费),http://149.104.24.69:5000/hami/OTT_LIVE_0000001946
Hami奥运3台(免费),http://149.104.24.69:5000/hami/OTT_LIVE_0000001947
Hami奥运4台(羽球+)(免费),http://149.104.24.69:5000/hami/OTT_LIVE_0000001813
Hami奥运5台(桌球+)(免费),http://149.104.24.69:5000/hami/OTT_LIVE_0000001814
Hami奥运6台(网球+)(免费),http://149.104.24.69:5000/hami/OTT_LIVE_0000001815
Hami奥运7台(高球+)(免费),http://149.104.24.69:5000/hami/OTT_LIVE_0000001817
Hami奥运热播台(免费),http://149.104.24.69:5000/hami/OTT_LIVE_0000001948
Hami MLB 台,http://149.104.24.69:5000/hami/OTT_LIVE_0000002017
Hami 羽球台,http://149.104.24.69:5000/hami/OTT_LIVE_0000001830
Hami 羽球台(免费),http://149.104.24.69:5000/hami/OTT_LIVE_0000001831
Eurosport,http://149.104.24.69:5000/hami/OTT_LIVE_0000001771
INULTRA,http://149.104.24.69:5000/hami/OTT_LIVE_0000002056
Hami 卡通台(免费),http://149.104.24.69:5000/hami/OTT_LIVE_0000002083
Hami 日漫台(免费),http://149.104.24.69:5000/hami/OTT_LIVE_0000002087
BBC Cbeebies,http://149.104.24.69:5000/hami/OTT_LIVE_0000001711
Cartoonito,http://149.104.24.69:5000/hami/OTT_LIVE_0000001889
CN 卡通频道,http://149.104.24.69:5000/hami/OTT_LIVE_0000002002
空中英语教室,http://149.104.24.69:5000/hami/OTT_LIVE_0000001553
Asian Food Network 亚洲美食频道,http://149.104.24.69:5000/hami/OTT_LIVE_0000002039
BBC Earth,http://149.104.24.69:5000/hami/OTT_LIVE_0000001510
BBC Lifestyle,http://149.104.24.69:5000/hami/OTT_LIVE_0000001513
Discovery Asia,http://149.104.24.69:5000/hami/OTT_LIVE_0000001924
Discovery DMAX,http://149.104.24.69:5000/hami/OTT_LIVE_0000001514
Discovery EVE,http://149.104.24.69:5000/hami/OTT_LIVE_0000001511
Discovery Science,http://149.104.24.69:5000/hami/OTT_LIVE_0000001512
Love Nature,http://149.104.24.69:5000/hami/OTT_LIVE_0000001867
Travel Channel,http://149.104.24.69:5000/hami/OTT_LIVE_0000001756
