电信线路,#genre#
吉林卫视,http://175.8.213.7:8081/tsfile/live/0116_1.m3u8
陕西卫视,http://175.8.213.7:8081/tsfile/live/0136_1.m3u8
山西卫视,http://175.8.213.7:8081/tsfile/live/0118_1.m3u8
内蒙古卫视,http://175.8.213.7:8081/tsfile/live/0109_1.m3u8
宁夏卫视,http://175.8.213.7:8081/tsfile/live/0112_1.m3u8
西藏卫视,http://175.8.213.7:8081/tsfile/live/0111_1.m3u8
新疆卫视,http://175.8.213.7:8081/tsfile/live/0110_1.m3u8
南方卫视,http://175.8.213.7:8081/tsfile/live/1004_1.m3u8
卡酷动画,http://175.8.213.7:8081/tsfile/live/1005_1.m3u8
优漫卡通,http://175.8.213.7:8081/tsfile/live/1006_1.m3u8
哈哈炫动,http://175.8.213.7:8081/tsfile/live/1007_1.m3u8

CCTV1,http://113.65.162.235:8081/hls/1/index.m3u8
CCTV2,http://113.65.162.235:8081/hls/2/index.m3u8
CCTV3,http://113.65.162.235:8081/hls/3/index.m3u8
CCTV4,http://113.65.162.235:8081/hls/4/index.m3u8
CCTV5,http://113.65.162.235:8081/hls/5/index.m3u8
CCTV6,http://113.65.162.235:8081/hls/6/index.m3u8
CCTV7,http://113.65.162.235:8081/hls/7/index.m3u8
CCTV8,http://113.65.162.235:8081/hls/8/index.m3u8
CCTV9,http://113.65.162.235:8081/hls/9/index.m3u8
CCTV10,http://113.65.162.235:8081/hls/10/index.m3u8
CCTV11,http://113.65.162.235:8081/hls/11/index.m3u8
CCTV12,http://113.65.162.235:8081/hls/12/index.m3u8
CCTV13,http://113.65.162.235:8081/hls/13/index.m3u8
CCTV14,http://113.65.162.235:8081/hls/14/index.m3u8
CCTV15,http://113.65.162.235:8081/hls/15/index.m3u8
CCTV5+,http://113.65.162.235:8081/hls/16/index.m3u8
CCTV17,http://113.65.162.235:8081/hls/17/index.m3u8
星空卫视,http://113.65.162.235:8081/hls/18/index.m3u8
凤凰中文台,http://113.65.162.235:8081/hls/19/index.m3u8
香港翡翠,http://113.65.162.235:8081/hls/20/index.m3u8
香港明珠,http://113.65.162.235:8081/hls/21/index.m3u8
澳亚卫视,http://113.65.162.235:8081/hls/22/index.m3u8
广东南方卫视,http://113.65.162.235:8081/hls/23/index.m3u8
广州台,http://113.65.162.235:8081/hls/24/index.m3u8
广东珠江,http://113.65.162.235:8081/hls/25/index.m3u8
广东公共,http://113.65.162.235:8081/hls/26/index.m3u8
广东新闻,http://113.65.162.235:8081/hls/27/index.m3u8
广东嘉佳卡通,http://113.65.162.235:8081/hls/28/index.m3u8
广东经济科教,http://113.65.162.235:8081/hls/30/index.m3u8
广东影视,http://113.65.162.235:8081/hls/31/index.m3u8
广东少儿,http://113.65.162.235:8081/hls/32/index.m3u8
广州综合,http://113.65.162.235:8081/hls/33/index.m3u8
广州新闻,http://113.65.162.235:8081/hls/34/index.m3u8
广州竞赛,http://113.65.162.235:8081/hls/35/index.m3u8
广州影视,http://113.65.162.235:8081/hls/36/index.m3u8
广州经济,http://113.65.162.235:8081/hls/37/index.m3u8
广州新闻,http://113.65.162.235:8081/hls/39/index.m3u8
广东经济科教,http://113.65.162.235:8081/hls/40/index.m3u8
广东体育,http://113.65.162.235:8081/hls/41/index.m3u8
广东卫视,http://113.65.162.235:8081/hls/42/index.m3u8
深圳卫视,http://113.65.162.235:8081/hls/43/index.m3u8
湖南卫视,http://113.65.162.235:8081/hls/44/index.m3u8
东方卫视,http://113.65.162.235:8081/hls/45/index.m3u8
北京卫视,http://113.65.162.235:8081/hls/46/index.m3u8
浙江卫视,http://113.65.162.235:8081/hls/47/index.m3u8
江苏卫视,http://113.65.162.235:8081/hls/48/index.m3u8
黑龙江卫视,http://113.65.162.235:8081/hls/49/index.m3u8
天津卫视,http://113.65.162.235:8081/hls/50/index.m3u8
山东卫视,http://113.65.162.235:8081/hls/51/index.m3u8
湖北卫视,http://113.65.162.235:8081/hls/52/index.m3u8
安徽卫视,http://113.65.162.235:8081/hls/53/index.m3u8
辽宁卫视,http://113.65.162.235:8081/hls/54/index.m3u8
贵州卫视,http://113.65.162.235:8081/hls/55/index.m3u8
四川卫视,http://113.65.162.235:8081/hls/56/index.m3u8
重庆卫视,http://113.65.162.235:8081/hls/57/index.m3u8
河北卫视,http://113.65.162.235:8081/hls/58/index.m3u8
江西卫视,http://113.65.162.235:8081/hls/59/index.m3u8
吉林卫视,http://113.65.162.235:8081/hls/60/index.m3u8
广西卫视,http://113.65.162.235:8081/hls/61/index.m3u8
云南卫视,http://113.65.162.235:8081/hls/62/index.m3u8
青海卫视,http://113.65.162.235:8081/hls/63/index.m3u8
山西卫视,http://113.65.162.235:8081/hls/64/index.m3u8
陕西卫视,http://113.65.162.235:8081/hls/65/index.m3u8
劲爆体育,http://113.65.162.235:8081/hls/68/index.m3u8
全纪实,http://113.65.162.235:8081/hls/69/index.m3u8
金鹰卡通,http://113.65.162.235:8081/hls/71/index.m3u8









CCTV1,http://116.9.204.242:9901/tsfile/live/0001_1.m3u8
CCTV2,http://116.9.204.242:9901/tsfile/live/0002_1.m3u8
CCTV3,http://116.9.204.242:9901/tsfile/live/0003_1.m3u8
CCTV4,http://116.9.204.242:9901/tsfile/live/0004_1.m3u8
CCTV5,http://116.9.204.242:9901/tsfile/live/0005_1.m3u8
CCTV6,http://116.9.204.242:9901/tsfile/live/0006_1.m3u8
CCTV7,http://116.9.204.242:9901/tsfile/live/0007_1.m3u8
CCTV8,http://116.9.204.242:9901/tsfile/live/0008_1.m3u8
CCTV9,http://116.9.204.242:9901/tsfile/live/0009_1.m3u8
CCTV10,http://116.9.204.242:9901/tsfile/live/0010_1.m3u8
CCTV11,http://116.9.204.242:9901/tsfile/live/0011_1.m3u8
CCTV12,http://116.9.204.242:9901/tsfile/live/0012_1.m3u8
CCTV13,http://116.9.204.242:9901/tsfile/live/0013_1.m3u8
CCTV14,http://116.9.204.242:9901/tsfile/live/0014_1.m3u8
CCTV15,http://116.9.204.242:9901/tsfile/live/0015_1.m3u8
CCTV17,http://113.65.162.235:8081/hls/17/index.m3u8

CCTV15,http://113.65.162.235:8081/hls/15/index.m3u8
CCTV14,http://113.65.162.235:8081/hls/14/index.m3u8
CCTV13,http://113.65.162.235:8081/hls/13/index.m3u8
CCTV12,http://113.65.162.235:8081/hls/12/index.m3u8
CCTV11,http://113.65.162.235:8081/hls/11/index.m3u8
CCTV10,http://113.65.162.235:8081/hls/10/index.m3u8
CCTV9,http://113.65.162.235:8081/hls/9/index.m3u8
CCTV15,http://121.232.178.68:60001/tsfile/live/0015_1.m3u8
CCTV14,http://121.232.178.68:60001/tsfile/live/0014_1.m3u8
CCTV13,http://121.232.178.68:60001/tsfile/live/0013_1.m3u8
CCTV12,http://121.232.178.68:60001/tsfile/live/0012_1.m3u8
CCTV11,http://121.232.178.68:60001/tsfile/live/0011_1.m3u8
CCTV10,http://121.232.178.68:60001/tsfile/live/0010_1.m3u8
CCTV9,http://121.232.178.68:60001/tsfile/live/0009_1.m3u8
CCTV8,http://121.232.178.68:60001/tsfile/live/0008_1.m3u8
CCTV7,http://121.232.178.68:60001/tsfile/live/0007_1.m3u8
CCTV6,http://121.232.178.68:60001/tsfile/live/0006_1.m3u8
CCTV5,http://113.65.162.235:8081/hls/16/index.m3u8
CCTV3,http://121.232.178.68:60001/tsfile/live/0003_1.m3u8
CCTV2,http://121.232.178.68:60001/tsfile/live/0002_1.m3u8
CCTV1,http://121.232.178.68:60001/tsfile/live/0001_1.m3u8

香港明珠,http://113.65.162.235:8081/hls/21/index.m3u8
香港翡翠,http://113.65.162.235:8081/hls/20/index.m3u8
凤凰中文台,http://113.65.162.235:8081/hls/19/index.m3u8
星空卫视,http://113.65.162.235:8081/hls/18/index.m3u8
劲爆体育,http://113.65.162.235:8081/hls/68/index.m3u8
南方卫视,http://113.65.162.235:8081/hls/23/index.m3u8
陕西卫视,http://113.65.162.235:8081/hls/65/index.m3u8
山西卫视,http://113.65.162.235:8081/hls/64/index.m3u8
青海卫视,http://113.65.162.235:8081/hls/63/index.m3u8
云南卫视,http://113.65.162.235:8081/hls/62/index.m3u8
广西卫视,http://113.65.162.235:8081/hls/61/index.m3u8
吉林卫视,http://113.65.162.235:8081/hls/60/index.m3u8
江西卫视,http://113.65.162.235:8081/hls/59/index.m3u8
河北卫视,http://113.65.162.235:8081/hls/58/index.m3u8
重庆卫视,http://113.65.162.235:8081/hls/57/index.m3u8
四川卫视,http://113.65.162.235:8081/hls/56/index.m3u8
贵州卫视,http://113.65.162.235:8081/hls/55/index.m3u8
辽宁卫视,http://113.65.162.235:8081/hls/54/index.m3u8
安徽卫视,http://113.65.162.235:8081/hls/53/index.m3u8
湖北卫视,http://113.65.162.235:8081/hls/52/index.m3u8
山东卫视,http://113.65.162.235:8081/hls/51/index.m3u8
天津卫视,http://113.65.162.235:8081/hls/50/index.m3u8
黑龙江卫视,http://113.65.162.235:8081/hls/49/index.m3u8
江苏卫视,http://113.65.162.235:8081/hls/48/index.m3u8
浙江卫视,http://113.65.162.235:8081/hls/47/index.m3u8
北京卫视,http://113.65.162.235:8081/hls/46/index.m3u8
东方卫视,http://113.65.162.235:8081/hls/45/index.m3u8
湖南卫视,http://113.65.162.235:8081/hls/44/index.m3u8
深圳卫视,http://113.65.162.235:8081/hls/43/index.m3u8
广东卫视,http://113.65.162.235:8081/hls/42/index.m3u8
广东体育,http://113.65.162.235:8081/hls/41/index.m3u8
广东经济科教,http://113.65.162.235:8081/hls/40/index.m3u8
广州新闻,http://113.65.162.235:8081/hls/39/index.m3u8
广州经济,http://113.65.162.235:8081/hls/37/index.m3u8
广州影视,http://113.65.162.235:8081/hls/36/index.m3u8
广州新闻,http://113.65.162.235:8081/hls/34/index.m3u8
广州综合,http://113.65.162.235:8081/hls/33/index.m3u8
广东少儿,http://113.65.162.235:8081/hls/32/index.m3u8
广东影视,http://113.65.162.235:8081/hls/31/index.m3u8
广东经济科教,http://113.65.162.235:8081/hls/30/index.m3u8
广东嘉佳卡通,http://113.65.162.235:8081/hls/28/index.m3u8
广东新闻,http://113.65.162.235:8081/hls/27/index.m3u8
广东公共,http://113.65.162.235:8081/hls/26/index.m3u8
广东珠江,http://113.65.162.235:8081/hls/25/index.m3u8
广州台,http://113.65.162.235:8081/hls/24/index.m3u8
MTV,http://113.65.162.235:8081/hls/73/index.m3u8
岭南戏曲,http://113.65.162.235:8081/hls/72/index.m3u8
金鹰卡通,http://113.65.162.235:8081/hls/71/index.m3u8
全纪实,http://113.65.162.235:8081/hls/69/index.m3u8

联通线路,#genre#


CCTV1,http://111.201.160.84:10000/rtp/239.3.1.129:8008
CCTV2,http://111.201.160.84:10000/rtp/239.3.1.60:8084
CCTV3,http://111.201.160.84:10000/rtp/239.3.1.172:8001
CCTV4,http://111.201.160.84:10000/rtp/239.3.1.105:8092
CCTV5,http://111.201.160.84:10000/rtp/239.3.1.130:8004
CCTV5,http://111.201.160.84:10000/rtp/239.3.1.173:8001
CCTV6,http://111.201.160.84:10000/rtp/239.3.1.174:8001
CCTV7,http://111.201.160.84:10000/rtp/239.3.1.61:8104
CCTV8,http://111.201.160.84:10000/rtp/239.3.1.175:8001
CCTV9,http://111.201.160.84:10000/rtp/239.3.1.62:8112
CCTV10,http://111.201.160.84:10000/rtp/239.3.1.63:8116
CCTV11,http://111.201.160.84:10000/rtp/239.3.1.152:8120
CCTV12,http://111.201.160.84:10000/rtp/239.3.1.64:8124
CCTV13,http://111.201.160.84:10000/rtp/239.3.1.124:8128
CCTV14,http://111.201.160.84:10000/rtp/239.3.1.65:8132
CCTV15,http://111.201.160.84:10000/rtp/239.3.1.153:8136
CCTV16,http://111.201.160.84:10000/rtp/239.3.1.184:8001
CCTV17,http://111.201.160.84:10000/rtp/239.3.1.151:8144






CCTV1,http://119.36.78.50:9981/tsfile/live/1035_1.m3u8
CCTV2,http://119.36.78.50:9981/tsfile/live/1048_1.m3u8
CCTV3,http://119.36.78.50:9981/tsfile/live/1049_1.m3u8
CCTV4,http://119.36.78.50:9981/tsfile/live/1050_1.m3u8
CCTV5,http://119.36.78.50:9981/tsfile/live/1051_1.m3u8
CCTV5+,http://119.36.78.50:9981/tsfile/live/1063_1.m3u8
CCTV6,http://119.36.78.50:9981/tsfile/live/1052_1.m3u8
CCTV7,http://119.36.78.50:9981/tsfile/live/1053_1.m3u8
CCTV8,http://119.36.78.50:9981/tsfile/live/1054_1.m3u8
CCTV9,http://119.36.78.50:9981/tsfile/live/1055_1.m3u8
CCTV10,http://119.36.78.50:9981/tsfile/live/1056_1.m3u8
CCTV11,http://119.36.78.50:9981/tsfile/live/1059_1.m3u8
CCTV12,http://119.36.78.50:9981/tsfile/live/1057_1.m3u8
CCTV13,http://119.36.78.50:9981/tsfile/live/1058_1.m3u8
CCTV14,http://119.36.78.50:9981/tsfile/live/1060_1.m3u8
CCTV15,http://119.36.78.50:9981/tsfile/live/1061_1.m3u8
CCTV16,http://119.36.78.50:9981/tsfile/live/1001_1.m3u8
CCTV17,http://119.36.78.50:9981/tsfile/live/1062_1.m3u8
CGTN,http://119.36.78.50:9981/tsfile/live/1000_1.m3u8
CETV1,http://119.36.78.50:9981/tsfile/live/1006_1.m3u8
CETV4,http://119.36.78.50:9981/tsfile/live/1007_1.m3u8

CHC动作电影,http://119.36.78.50:9981/tsfile/live/1041_1.m3u8
CHC家庭影院,http://119.36.78.50:9981/tsfile/live/1033_1.m3u8
湖北影视,http://119.36.78.50:9981/tsfile/live/1013_1.m3u8
湖南卫视,http://119.36.78.50:9981/tsfile/live/1065_1.m3u8
浙江卫视,http://119.36.78.50:9981/tsfile/live/1066_1.m3u8
江苏卫视,http://119.36.78.50:9981/tsfile/live/1067_1.m3u8
东方卫视,http://119.36.78.50:9981/tsfile/live/1068_1.m3u8
北京卫视,http://119.36.78.50:9981/tsfile/live/1069_1.m3u8
广东卫视,http://119.36.78.50:9981/tsfile/live/1070_1.m3u8
深圳卫视,http://119.36.78.50:9981/tsfile/live/1071_1.m3u8
黑龙江卫视,http://119.36.78.50:9981/tsfile/live/0143_1.m3u8
天津卫视,http://119.36.78.50:9981/tsfile/live/0135_1.m3u8
山东卫视,http://119.36.78.50:9981/tsfile/live/0131_1.m3u8
安徽卫视,http://119.36.78.50:9981/tsfile/live/0130_1.m3u8
辽宁卫视,http://119.36.78.50:9981/tsfile/live/0121_1.m3u8
东南卫视,http://119.36.78.50:9981/tsfile/live/0137_1.m3u8
江西卫视,http://119.36.78.50:9981/tsfile/live/0138_1.m3u8
重庆卫视,http://119.36.78.50:9981/tsfile/live/0142_1.m3u8
贵州卫视,http://119.36.78.50:9981/tsfile/live/0120_1.m3u8
宁夏卫视,http://119.36.78.50:9981/tsfile/live/0112_1.m3u8
广西卫视,http://119.36.78.50:9981/tsfile/live/0113_1.m3u8
海南卫视,http://119.36.78.50:9981/tsfile/live/1002_1.m3u8
河南卫视,http://119.36.78.50:9981/tsfile/live/0139_1.m3u8
四川卫视,http://119.36.78.50:9981/tsfile/live/0123_1.m3u8
吉林卫视,http://119.36.78.50:9981/tsfile/live/0116_1.m3u8
山西卫视,http://119.36.78.50:9981/tsfile/live/0118_1.m3u8
云南卫视,http://119.36.78.50:9981/tsfile/live/0119_1.m3u8
西藏卫视,http://119.36.78.50:9981/tsfile/live/0111_1.m3u8
内蒙古卫视,http://119.36.78.50:9981/tsfile/live/0109_1.m3u8
新疆卫视,http://119.36.78.50:9981/tsfile/live/0110_1.m3u8
青海卫视,http://119.36.78.50:9981/tsfile/live/0140_1.m3u8
河北卫视,http://119.36.78.50:9981/tsfile/live/0117_1.m3u8
陕西卫视,http://119.36.78.50:9981/tsfile/live/0136_1.m3u8
甘肃卫视,http://119.36.78.50:9981/tsfile/live/0141_1.m3u8
三沙卫视,http://119.36.78.50:9981/tsfile/live/1008_1.m3u8
金鹰卡通,http://119.36.78.50:9981/tsfile/live/1004_1.m3u8

BTV国际频道,http://111.201.160.84:10000/rtp/239.3.1.235:8000
BRTV体育休闲超清,http://111.201.160.84:10000/rtp/239.3.1.243:8000
BRTV卡酷少儿HD,http://111.201.160.84:10000/rtp/239.3.1.189:8000
BRTV纪实科教HD,http://111.201.160.84:10000/rtp/239.3.1.115:8000
BRTV生活HD,http://111.201.160.84:10000/rtp/239.3.1.117:8000
BRTV财经HD,http://111.201.160.84:10000/rtp/239.3.1.116:8000
BRTV文艺HD,http://111.201.160.84:10000/rtp/239.3.1.242:8000
BRTV影视HD,http://111.201.160.84:10000/rtp/239.3.1.158:8000
BRTV新闻HD,http://111.201.160.84:10000/rtp/239.3.1.159:8000
BRTV北京卫视HD,http://111.201.160.84:10000/rtp/239.3.1.241:8000




环球奇观,http://119.36.78.50:9981/tsfile/live/1023_1.m3u8
国学频道,http://119.36.78.50:9981/tsfile/live/1024_1.m3u8
财富天下,http://119.36.78.50:9981/tsfile/live/1025_1.m3u8
先锋乒羽,http://119.36.78.50:9981/tsfile/live/1029_1.m3u8
中华美食,http://119.36.78.50:9981/tsfile/live/1030_1.m3u8
快乐购,http://119.36.78.50:9981/tsfile/live/1032_1.m3u8
重温经典,http://119.36.78.50:9981/tsfile/live/1047_1.m3u8
风云音乐,http://119.36.78.50:9981/tsfile/live/1017_1.m3u8
发现之旅,http://119.36.78.50:9981/tsfile/live/1019_1.m3u8
老故事,http://119.36.78.50:9981/tsfile/live/1020_1.m3u8
快乐垂钓,http://119.36.78.50:9981/tsfile/live/1026_1.m3u8
高尔夫.网球,http://119.36.78.50:9981/tsfile/live/1016_1.m3u8
卫生健康,http://119.36.78.50:9981/tsfile/live/1018_1.m3u8
法制天地,http://119.36.78.50:9981/tsfile/live/1027_1.m3u8
梨园,http://119.36.78.50:9981/tsfile/live/1028_1.m3u8
天元围棋,http://119.36.78.50:9981/tsfile/live/1034_1.m3u8
DV-生活,http://119.36.78.50:9981/tsfile/live/1036_1.m3u8
央视精品,http://119.36.78.50:9981/tsfile/live/1037_1.m3u8
测试一,http://119.36.78.50:9981/tsfile/live/1038_1.m3u8
第一剧场,http://119.36.78.50:9981/tsfile/live/1039_1.m3u8
国防军事,http://119.36.78.50:9981/tsfile/live/1040_1.m3u8
靓妆,http://119.36.78.50:9981/tsfile/live/1042_1.m3u8
风云足球,http://119.36.78.50:9981/tsfile/live/1043_1.m3u8
世界地理,http://119.36.78.50:9981/tsfile/live/1044_1.m3u8
风云剧场,http://119.36.78.50:9981/tsfile/live/1045_1.m3u8
怀旧剧场,http://119.36.78.50:9981/tsfile/live/1046_1.m3u8




移动线路,#genre#

CCTV1,http://39.134.67.108/PLTV/88888888/224/3221225816/1.m3u8
CCTV2,http://39.134.67.108/PLTV/88888888/224/3221225599/1.m3u8
CCTV3,http://39.134.67.108/PLTV/88888888/224/3221225799/1.m3u8
CCTV4,http://39.134.67.108/PLTV/88888888/224/3221225797/1.m3u8
CCTV5,http://39.134.67.108/PLTV/88888888/224/3221225818/1.m3u8
CCTV5+,http://39.134.67.108/PLTV/88888888/224/3221225507/1.m3u8
CCTV6,http://39.134.67.108/PLTV/88888888/224/3221225814/1.m3u8
CCTV7,http://39.134.67.108/PLTV/88888888/224/3221225671/1.m3u8
CCTV8,http://39.134.67.108/PLTV/88888888/224/3221225795/1.m3u8
CCTV9,http://39.134.67.108/PLTV/88888888/224/3221225676/1.m3u8
CCTV10,http://39.134.67.108/PLTV/88888888/224/3221225677/1.m3u8
CCTV11,http://39.134.67.108/PLTV/88888888/224/3221225517/1.m3u8
CCTV12,http://39.134.67.108/PLTV/88888888/224/3221225669/1.m3u8
CCTV13,http://39.134.67.108/PLTV/88888888/224/3221225812/1.m3u8
CCTV14,http://39.134.67.108/PLTV/88888888/224/3221225674/1.m3u8
CCTV15,http://39.134.67.108/PLTV/88888888/224/3221225513/1.m3u8
CCTV16,http://39.134.67.108/PLTV/88888888/224/3221225893/1.m3u8
CCTV17,http://39.134.67.108/PLTV/88888888/224/3221225708/1.m3u8
CCTV1,http://39.134.67.108/PLTV/88888888/224/3221226119/1.m3u8$高清
CCTV11,http://39.134.67.108/PLTV/88888888/224/3221226123/1.m3u8$高清
CCTV13,http://39.134.67.108/PLTV/88888888/224/3221226125/1.m3u8$高清
CCTV10,http://39.134.67.108/PLTV/88888888/224/3221226128/1.m3u8$高清
CGTN纪录,http://39.134.67.108/PLTV/88888888/224/3221225509/1.m3u8
CGTN,http://39.134.67.108/PLTV/88888888/224/3221225510/1.m3u8
CETV1,http://39.134.67.108/PLTV/88888888/224/3221225563/1.m3u8
CETV4,http://39.134.67.108/PLTV/88888888/224/3221225750/1.m3u8







CCTV1,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226016/index.m3u8
CCTV1,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226559/index.m3u8
CCTV2,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225588/index.m3u8
CCTV2,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226540/index.m3u8
CCTV3,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226021/index.m3u8
CCTV4,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226007/index.m3u8
CCTV4,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226428/index.m3u8
CCTV5,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226019/index.m3u8
CCTV5+,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225603/index.m3u8
CCTV6,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226010/index.m3u8
CCTV7,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225733/index.m3u8
CCTV8,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226008/index.m3u8
CCTV9,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225734/index.m3u8
CCTV10,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225730/index.m3u8
CCTV10,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226473/index.m3u8
CCTV11,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225597/index.m3u8
CCTV11,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226565/index.m3u8
CCTV11,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226568/index.m3u8
CCTV12,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225731/index.m3u8
CCTV13,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226011/index.m3u8
CCTV13,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226537/index.m3u8
CCTV13,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226571/index.m3u8
CCTV14,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225732/index.m3u8
CCTV14,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226591/index.m3u8
CCTV15,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225601/index.m3u8
CCTV15,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226476/index.m3u8
CCTV16,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226100/index.m3u8
CCTV17,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225765/index.m3u8


安徽卫视,http://39.134.67.108/PLTV/88888888/224/3221225923/1.m3u8
安徽卫视,http://39.134.67.108/PLTV/88888888/224/3221225925/1.m3u8$高清
北京卫视,http://39.134.67.108/PLTV/88888888/224/3221225927/1.m3u8
北京卫视,http://39.134.67.108/PLTV/88888888/224/3221225931/1.m3u8$高清
东方卫视,http://39.134.67.108/PLTV/88888888/224/3221225942/1.m3u8$高清
东方卫视,http://39.134.67.108/PLTV/88888888/224/3221225960/1.m3u8
东南卫视,http://39.134.67.108/PLTV/88888888/224/3221225950/1.m3u8$高清
广东卫视,http://39.134.67.108/PLTV/88888888/224/3221225962/1.m3u8
广东卫视,http://39.134.67.108/PLTV/88888888/224/3221225966/1.m3u8$高清
贵州卫视,http://39.134.67.108/PLTV/88888888/224/3221225974/1.m3u8$高清
河北卫视,http://39.134.67.108/PLTV/88888888/224/3221225961/1.m3u8$高清
河北卫视,http://39.134.67.108/PLTV/88888888/224/3221225991/1.m3u8
湖北卫视,http://39.134.67.108/PLTV/88888888/224/3221225975/1.m3u8$高清
江苏卫视,http://39.134.67.108/PLTV/88888888/224/3221225929/1.m3u8
江苏卫视,http://39.134.67.108/PLTV/88888888/224/3221225938/1.m3u8$高清
江西卫视,http://39.134.67.108/PLTV/88888888/224/3221225935/1.m3u8$高清
