🐼电视公告,#genre#
CineMax电影台,http://ali.hlspull.yximgs.com:80/live/huanqiuhktvqeqcxlvofbqbvbqqqbvyvblcfybqxjbcqcfjvsfcbqbnqtcqnemqx.flv

翡翠台,http://v2h.jdshipin.com/jade2/jade.stream/chunklist_w100.m3u8
1905电影A,https://tv.myukj.cn/1905.php?id=1905a
1905电影B,https://tv.myukj.cn/1905.php?id=1905b
CHINA MOVIE,http://106.53.99.30/dl/chinamovie.m3u8

重温经典,http://ali.hlspull.yximgs.com/live/awei_cwjd.flv
星光综合台,http://ali.hlspull.yximgs.com/live/zxcvbnm9852.flv
影渣好剧,https://hdl-vip-ws.qf.56.com/live/lc_11730.flv

无线新闻台,http://php.jdshipin.com/TVOD/iptv.php?id=tvbxw
TVB娱乐新闻台,http://php.jdshipin.com/TVOD/iptv.php?id=tvbylxw
TVB亚洲武侠,http://php.jdshipin.com/TVOD/iptv.php?id=yzwx
无线华丽台,http://php.jdshipin.com/TVOD/iptv.php?id=huali2
CHC影迷电影,http://php.jdshipin.com/TVOD/iptv.php?id=chcymdy
CHC动作电影,http://php.jdshipin.com/TVOD/iptv.php?id=chcdzdy
CHC家庭影院,http://php.jdshipin.com/TVOD/iptv.php?id=chcjtyy
重温经典,http://php.jdshipin.com/TVOD/iptv.php?id=cwjd
凤凰卫视频道,http://php.jdshipin.com/TVOD/iptv.php?id=fhzw
凤凰资讯频道,http://php.jdshipin.com/TVOD/iptv.php?id=fhzx
凤凰香港频备,http://php.jdshipin.com/TVOD/iptv.php?id=fhhk
广东珠江频备,http://php.jdshipin.com/TVOD/iptv.php?id=gdzj
广东体育频备,http://php.jdshipin.com/TVOD/iptv.php?id=gdty
凤凰中文,http://php.jdshipin.com/TVOD/iptv.php?id=fhzw
凤凰资讯,http://php.jdshipin.com/TVOD/iptv.php?id=fhzx
凤凰卫视,http://php.jdshipin.com/TVOD/iptv.php?id=fhzw
凤凰资讯,http://php.jdshipin.com/TVOD/iptv.php?id=fhzx
翡翠台,http://php.jdshipin.com/TVOD/iptv.php?id=fct
TVB无线新闻,http://php.jdshipin.com/TVOD/iptv.php?id=wxxwt
千禧经典,http://php.jdshipin.com/TVOD/iptv.php?id=tvbc
翡翠台,http://php.jdshipin.com/TVOD/iptv.php?id=fct
翡翠台,http://php.jdshipin.com/TVOD/iptv.php?id=fct3
翡翠台北美版(TVB J1),http://php.jdshipin.com/TVOD/iptv.php?id=j1
TVB Plus,http://php.jdshipin.com/TVOD/iptv.php?id=j2
VIUTV,http://php.jdshipin.com/TVOD/iptv.php?id=viutv
HOY TV,http://php.jdshipin.com/TVOD/iptv.php?id=hoytv
凤凰中文,http://php.jdshipin.com/TVOD/iptv.php?id=fhzw
凤凰资讯,http://php.jdshipin.com/TVOD/iptv.php?id=fhzx
重温经典,http://php.jdshipin.com/TVOD/iptv.php?id=cwjd
澳视澳门,http://php.jdshipin.com/TVOD/iptv.php?id=asam
澳视卫星,http://php.jdshipin.com/TVOD/iptv.php?id=as
翡翠台,http://php.jdshipin.com/TVOD/iptv.php?id=fct3
翡翠台,http://php.jdshipin.com/TVOD/iptv.php?id=fct
TVB无线华丽,http://php.jdshipin.com/TVOD/iptv.php?id=huali
TVB星河,http://php.jdshipin.com/TVOD/iptv.php?id=xinghe
TVB Plus,http://php.jdshipin.com/TVOD/iptv.php?id=j2
TVB千禧经典,http://php.jdshipin.com/TVOD/iptv.php?id=tvbc
VIUTV,http://php.jdshipin.com/TVOD/iptv.php?id=viutv
HOY 77,http://php.jdshipin.com/TVOD/iptv.php?id=hoytv
凤凰资讯,http://php.jdshipin.com/TVOD/iptv.php?id=fhzx
广东珠江,http://php.jdshipin.com/TVOD/iptv.php?id=gdzj
广东体育,http://php.jdshipin.com/TVOD/iptv.php?id=gdty
凤凰卫视,http://php.jdshipin.com/TVOD/iptv.php?id=fhzw
凤凰资讯,http://php.jdshipin.com/TVOD/iptv.php?id=fhzx
凤凰香港,http://php.jdshipin.com/TVOD/iptv.php?id=fhhk
CHC影迷电影,http://php.jdshipin.com/TVOD/iptv.php?id=chcymdy
CHC动作电影,http://php.jdshipin.com/TVOD/iptv.php?id=chcdzdy
CHC家庭影院,http://php.jdshipin.com/TVOD/iptv.php?id=chcjtyy
重温经典,http://php.jdshipin.com/TVOD/iptv.php?id=cwjd
无线新闻,http://php.jdshipin.com/TVOD/iptv.php?id=tvbxw
无线新闻.备用,http://php.jdshipin.com/TVOD/iptv.php?id=wxxwt
华丽翡翠台,http://php.jdshipin.com/TVOD/iptv.php?id=huali
华丽翡翠台.备用,http://php.jdshipin.com/TVOD/iptv.php?id=huali2
TVB星河,http://php.jdshipin.com/TVOD/iptv.php?id=tvbxh
TVB生活台,http://php.jdshipin.com/TVOD/iptv.php?id=tvbsh
TVB亚洲武侠,http://php.jdshipin.com/TVOD/iptv.php?id=yzwx
TVB娱乐新闻台,http://php.jdshipin.com/TVOD/iptv.php?id=tvbylxw
CHC影迷电影,http://php.jdshipin.com/TVOD/iptv.php?id=chcymdy
CHC动作电影,http://php.jdshipin.com/TVOD/iptv.php?id=chcdzdy
CHC家庭影院,http://php.jdshipin.com/TVOD/iptv.php?id=chcjtyy
重温经典,http://php.jdshipin.com/TVOD/iptv.php?id=cwjd
重温经典,http://php.jdshipin.com/TVOD/iptv.php?id=cwjd
翡翠台,http://php.jdshipin.com/TVOD/iptv.php?id=fct3
翡翠台,http://php.jdshipin.com/TVOD/iptv.php?id=fct
翡翠台,http://php.jdshipin.com/TVOD/iptv.php?id=fct4
翡翠台,http://php.jdshipin.com/TVOD/iptv.php?id=fct3$LR•IPV4『线路4』
TVB无线华丽,http://php.jdshipin.com/TVOD/iptv.php?id=huali
TVB星河,http://php.jdshipin.com/TVOD/iptv.php?id=xinghe
TVB Plus,http://php.jdshipin.com/TVOD/iptv.php?id=j2
TVB千禧经典,http://php.jdshipin.com/TVOD/iptv.php?id=tvbc
VIUTV,http://php.jdshipin.com/TVOD/iptv.php?id=viutv
HOY 77,http://php.jdshipin.com/TVOD/iptv.php?id=hoytv
凤凰中文,http://php.jdshipin.com/TVOD/iptv.php?id=fhzw
凤凰资讯,http://php.jdshipin.com/TVOD/iptv.php?id=fhzx
凤凰卫视,http://php.jdshipin.com/TVOD/iptv.php?id=fhzw
CCTV1,http://php.jdshipin.com/TVOD/iptv.php?id=rthk33
凤凰卫视,http://php.jdshipin.com/TVOD/iptv.php?id=fhzw
广西卫视,http://php.jdshipin.com/TVOD/hljyd.php?id=3221226549
甘肃卫视,http://php.jdshipin.com/TVOD/hljyd.php?id=3221225633
凤凰中文,http://php.jdshipin.com/TVOD/iptv.php?id=fhzw
凤凰中文,http://php.jdshipin.com/TVOD/iptv.php?id=fhzw2
凤凰资讯,http://php.jdshipin.com/TVOD/iptv.php?id=fhzx
翡翠台,http://php.jdshipin.com/TVOD/iptv.php?id=fct
翡翠台,http://php.jdshipin.com/TVOD/iptv.php?id=fct3
翡翠台,http://php.jdshipin.com/TVOD/iptv.php?id=huali2
翡翠台,http://php.jdshipin.com/TVOD/iptv.php?id=fct4
TVB明珠,http://php.jdshipin.com/TVOD/iptv.php?id=mzt2
TVB星河,http://php.jdshipin.com/TVOD/iptv.php?id=xinghe
TVB星河,http://php.jdshipin.com/TVOD/iptv.php?id=tvbxh
TVB无线新闻,http://php.jdshipin.com/TVOD/iptv.php?id=wxxwt
TVB娱乐新闻,http://php.jdshipin.com/TVOD/iptv.php?id=tvbylxw
TVB千禧经典,http://php.jdshipin.com/TVOD/iptv.php?id=tvbc
VIU,http://php.jdshipin.com/TVOD/iptv.php?id=viutv
VIU,http://php.jdshipin.com/TVOD/iptv.php?id=viutv2
TVB J2,http://php.jdshipin.com/TVOD/iptv.php?id=j2
凤凰中文台,http://183.157.13.62:4022/udp/233.50.200.42:5140
凤凰中文台,http://183.157.13.62:4022/udp/233.50.200.42:5140
凤凰资讯,http://php.jdshipin.com:8880/TVOD/iptv.php?id=fhzx
凤凰中文,http://php.jdshipin.com:8880/TVOD/iptv.php?id=fhzw
翡翠台,http://php.jdshipin.com:8880/TVOD/iptv.php?id=fct
翡翠台,http://php.jdshipin.com:8880/TVOD/iptv.php?id=fct2
翡翠台,http://php.jdshipin.com:8880/TVOD/iptv.php?id=fct3
翡翠台,http://php.jdshipin.com:8880/TVOD/iptv.php?id=fct4
TVB J2,http://php.jdshipin.com:8880/TVOD/iptv.php?id=j2
TVB Plus,http://php.jdshipin.com:8880/TVOD/iptv.php?id=tvbp
TVB星河台,http://php.jdshipin.com:8880/TVOD/iptv.php?id=xinghe
重温经典,http://php.jdshipin.com:8880/TVOD/iptv.php?id=cwjd
HOY TV,http://php.jdshipin.com:8880/TVOD/iptv.php?id=hoytv
RHK31,http://php.jdshipin.com:8880/TVOD/iptv.php?id=rthk31
RHK32,http://php.jdshipin.com:8880/TVOD/iptv.php?id=rthk32
CCTV-1,http://php.jdshipin.com:8880/TVOD/iptv.php?id=rthk33

凤凰卫视, http://221.7.175.154:8445/tsfile/live/1020_1.m3u8?key=txiptv&playlive=1&authid=0

凤凰资讯, http://221.7.175.154:8445/tsfile/live/1021_1.m3u8?key=txiptv&playlive=1&authid=0

凤凰影视, http://221.7.175.154:8445/tsfile/live/1022_1.m3u8?key=txiptv&playlive=1&authid=0

💝NOW专区,#genre#
HBO, https://dko29we9nm1rd.cloudfront.net/hls/CH115/index.m3u8
Now 爆谷台, https://dko29we9nm1rd.cloudfront.net/hls/CH133/index.m3u8
Now爆谷星影台, https://dko29we9nm1rd.cloudfront.net/hls/CH138/index.m3u8
Now直播台, https://dko29we9nm1rd.cloudfront.net/hls/CH331/index.m3u8
Now新聞台, https://dko29we9nm1rd.cloudfront.net/hls/CH332/index.m3u8
Now財經台, https://dko29we9nm1rd.cloudfront.net/hls/CH333/index.m3u8
Now Sports 英超1台, https://dko29we9nm1rd.cloudfront.net/hls/CH621/index.m3u8
Now Sports 英超2台, https://dko29we9nm1rd.cloudfront.net/hls/CH622/index.m3u8
Now Sports 英超3台, https://dko29we9nm1rd.cloudfront.net/hls/CH623/index.m3u8
Now Sports 英超4台, https://dko29we9nm1rd.cloudfront.net/hls/CH624/index.m3u8
Now Sports 英超5台, https://dko29we9nm1rd.cloudfront.net/hls/CH625/index.m3u8
Now Sports 英超6台, https://dko29we9nm1rd.cloudfront.net/hls/CH626/index.m3u8
Now Sports 2, https://dko29we9nm1rd.cloudfront.net/hls/CH632/index.m3u8
Now Sports 3, https://dko29we9nm1rd.cloudfront.net/hls/CH633/index.m3u8
Now Sports 4, https://dko29we9nm1rd.cloudfront.net/hls/CH634/index.m3u8
Now Sports 5, https://dko29we9nm1rd.cloudfront.net/hls/CH635/index.m3u8
Now Sports 6, https://dko29we9nm1rd.cloudfront.net/hls/CH636/index.m3u8
Now Sports 7, https://dko29we9nm1rd.cloudfront.net/hls/CH637/index.m3u8
beIN SPORTS 1, https://dko29we9nm1rd.cloudfront.net/hls/CH638/index.m3u8
beIN SPORTS 2, https://dko29we9nm1rd.cloudfront.net/hls/CH639/index.m3u8
Now Sports 641, https://dko29we9nm1rd.cloudfront.net/hls/CH641/index.m3u8
NBATV, https://dko29we9nm1rd.cloudfront.net/hls/CH642/index.m3u8
Now Sports 651, https://dko29we9nm1rd.cloudfront.net/hls/CH651/index.m3u8
Now Sports 652, https://dko29we9nm1rd.cloudfront.net/hls/CH652/index.m3u8
Premier Sports, https://dko29we9nm1rd.cloudfront.net/hls/CH679/index.m3u8
Now Sports PLUS, https://dko29we9nm1rd.cloudfront.net/hls/CH680/index.m3u8

💝教育全网,#genre#
CCTV1,http://8.138.7.223/tv/dl/hucc.php?id=1
CCTV2,http://8.138.7.223/tv/dl/hucc.php?id=2
CCTV3,http://8.138.7.223/tv/dl/hucc.php?id=3
CCTV4,http://8.138.7.223/tv/dl/hucc.php?id=4
CCTV5,http://8.138.7.223/tv/dl/hucc.php?id=5
CCTV5+,http://8.138.7.223/tv/dl/hucc.php?id=6
CCTV6,http://8.138.7.223/tv/dl/hucc.php?id=7
CCTV7,http://8.138.7.223/tv/dl/hucc.php?id=8
CCTV8,http://8.138.7.223/tv/dl/hucc.php?id=9
CCTV9,http://8.138.7.223/tv/dl/hucc.php?id=10
CCTV10,http://8.138.7.223/tv/dl/hucc.php?id=11
CCTV12,http://8.138.7.223/tv/dl/hucc.php?id=12
CCTV13,http://8.138.7.223/tv/dl/hucc.php?id=13
CCTV14,http://8.138.7.223/tv/dl/hucc.php?id=14
浙江卫视,http://8.138.7.223/tv/dl/hucc.php?id=15
湖南卫视,http://8.138.7.223/tv/dl/hucc.php?id=16
江苏卫视,http://8.138.7.223/tv/dl/hucc.php?id=17
东方卫视,http://8.138.7.223/tv/dl/hucc.php?id=18
安徽卫视,http://8.138.7.223/tv/dl/hucc.php?id=19
北京卫视,http://8.138.7.223/tv/dl/hucc.php?id=20
黑龙江卫视,http://8.138.7.223/tv/dl/hucc.php?id=21
辽宁卫视,http://8.138.7.223/tv/dl/hucc.php?id=22
深圳卫视,http://8.138.7.223/tv/dl/hucc.php?id=23
广东卫视,http://8.138.7.223/tv/dl/hucc.php?id=24
天津卫视,http://8.138.7.223/tv/dl/hucc.php?id=25
湖北卫视,http://8.138.7.223/tv/dl/hucc.php?id=26
山东卫视,http://8.138.7.223/tv/dl/hucc.php?id=27
重庆卫视,http://8.138.7.223/tv/dl/hucc.php?id=28
四川卫视,http://8.138.7.223/tv/dl/hucc.php?id=29
福建东南卫视,http://8.138.7.223/tv/dl/hucc.php?id=30
河北卫视,http://8.138.7.223/tv/dl/hucc.php?id=31
江西卫视,http://8.138.7.223/tv/dl/hucc.php?id=32
资讯台,http://8.138.7.223/tv/dl/hucc.php?id=33
电影台,http://8.138.7.223/tv/dl/hucc.php?id=34
CGTN,http://8.138.7.223/tv/dl/hucc.php?id=35
CHC电影,http://8.138.7.223/tv/dl/hucc.php?id=36
北京文艺,http://8.138.7.223/tv/dl/hucc.php?id=37
北京影视,http://8.138.7.223/tv/dl/hucc.php?id=38
北京新闻,http://8.138.7.223/tv/dl/hucc.php?id=39
北京纪实,http://8.138.7.223/tv/dl/hucc.php?id=40
上海纪实,http://8.138.7.223/tv/dl/hucc.php?id=41
金鹰纪实,http://8.138.7.223/tv/dl/hucc.php?id=42
中国教育电视台1,http://8.138.7.223/tv/dl/hucc.php?id=43
中国教育1,http://8.138.7.223/tv/dl/hucc.php?id=44
中国教育3,http://8.138.7.223/tv/dl/hucc.php?id=45
中国教育4,http://8.138.7.223/tv/dl/hucc.php?id=46
CHC动作电影,http://8.138.7.223/tv/dl/hucc.php?id=47
CHC家庭影院,http://8.138.7.223/tv/dl/hucc.php?id=48
金鹰卡通,http://8.138.7.223/tv/dl/hucc.php?id=49
山东教育,http://8.138.7.223/tv/dl/hucc.php?id=50
探索频道,http://8.138.7.223/tv/dl/hucc.php?id=51
国家地理频道,http://8.138.7.223/tv/dl/hucc.php?id=52

💝批量港台,#genre#

凤凰中文卫视,http://108.181.20.197/livehttpplay?channel_id=30014
凤凰香港台,http://108.181.20.197/livehttpplay?channel_id=30016
凤凰资讯,http://108.181.20.197/livehttpplay?channel_id=30015
人间卫视,https://5ddce30eb4b55.streamlock.net/bltvhd/bltv1/chunklist_w511254805.m3u8
音乐欣赏1,http://61.221.215.25:8800/hls/49/index.m3u8
音乐欣赏2,http://61.221.215.25:8800/hls/58/index.m3u8
AMC电影台,http://61.221.215.25:8800/hls/43/index.m3u8
八大综合台,http://61.221.215.25:8800/hls/56/index.m3u8
八大戏剧台,http://61.221.215.25:8800/hls/39/index.m3u8
八大第一台,http://61.221.215.25:8800/hls/55/index.m3u8#http://108.181.20.197/livehttpplay?channel_id=20073
动物星球,http://61.221.215.25:8800/hls/57/index.m3u8
探索频道,http://61.221.215.25:8800/hls/1/index.m3u8
探索亞洲,http://61.221.215.25:8800/hls/50/index.m3u8
中天娱乐,http://61.221.215.25:8800/hls/47/index.m3u8
緯來電影,http://108.181.20.197/livehttpplay?channel_id=20199
好莱坞电影,http://108.181.20.197/livehttpplay?channel_id=20062
东森洋片,http://108.181.20.197/livehttpplay?channel_id=20080
龙祥时代电影,http://108.181.20.197/livehttpplay?channel_id=20114
龙华日韩,http://108.181.20.197/livehttpplay?channel_id=20081
龙华偶像,http://108.181.20.197/livehttpplay?channel_id=20023
美亚电影,http://108.181.20.197/livehttpplay?channel_id=20197
FGM电影,http://108.181.20.197/livehttpplay?channel_id=10123
天映经典,http://108.181.20.197/livehttpplay?channel_id=20063
八大精彩,http://108.181.20.197/livehttpplay?channel_id=20052
八大综合,http://108.181.20.197/livehttpplay?channel_id=20068
八大娱乐,http://108.181.20.197/livehttpplay?channel_id=20071
中天娱乐,http://108.181.20.197/livehttpplay?channel_id=20079
东森财经,http://108.181.20.197/livehttpplay?channel_id=20078
华视新闻,http://108.181.20.197/livehttpplay?channel_id=20086
民视新闻,http://108.181.20.197/livehttpplay?channel_id=20097
三立都会,http://108.181.20.197/livehttpplay?channel_id=20100
纬来体育,http://108.181.20.197/livehttpplay?channel_id=20120
纬来戏剧,http://108.181.20.197/livehttpplay?channel_id=20200
纬来娱乐,http://108.181.20.197/livehttpplay?channel_id=20202
纬来日本,http://108.181.20.197/livehttpplay?channel_id=20303
ELTA体育1,http://108.181.20.197/livehttpplay?channel_id=20043
ELTA体育2,http://108.181.20.197/livehttpplay?channel_id=20107
TVBS欢乐,http://108.181.20.197/livehttpplay?channel_id=20105
TVBS精彩,http://108.181.20.197/livehttpplay?channel_id=20136
NOW新闻,http://108.181.20.197/livehttpplay?channel_id=20041
非凡新闻,http://108.181.20.197/livehttpplay?channel_id=20034
壹新闻,http://108.181.20.197/livehttpplay?channel_id=20028
BBC地球,http://108.181.20.197/livehttpplay?channel_id=20044
HBOFAMILY,http://108.181.20.197/livehttpplay?channel_id=20092
CHANNEL8,http://108.181.20.197/livehttpplay?channel_id=10132
CN卡通,http://108.181.20.197/livehttpplay?channel_id=20048
HBOHITS,http://108.181.20.197/livehttpplay?channel_id=20091
台视,http://108.181.20.197/livehttpplay?channel_id=20076
公视,http://108.181.20.197/livehttpplay?channel_id=20087
中视,http://108.181.20.197/livehttpplay?channel_id=20088
星河,http://108.181.20.197/livehttpplay?channel_id=20070
民视,http://108.181.20.197/livehttpplay?channel_id=20074
采昌,http://108.181.20.197/livehttpplay?channel_id=20141
HOY78,http://108.181.20.197/livehttpplay?channel_id=20191
HBO1,http://108.181.20.197/livehttpplay?channel_id=20093
HBO2,http://108.181.20.197/livehttpplay?channel_id=20314
ELEVENSPORTS1,http://108.181.20.197/livehttpplay?channel_id=10104
ELEVENSPORTS2,http://108.181.20.197/livehttpplay?channel_id=10105
动画片,http://61.221.215.25:8800/hls/40/index.m3u8
尼克动画,http://108.181.20.197/livehttpplay?channel_id=20089
国兴卫视,http://108.181.20.197/livehttpplay?channel_id=20164
三立新闻,http://108.181.20.197/livehttpplay?channel_id=10126
博斯运动,http://108.181.20.197/livehttpplay?channel_id=10131
国家地理,http://108.181.20.197/livehttpplay?channel_id=20037
年代新闻,http://108.181.20.197/livehttpplay?channel_id=20033
美国中文电视,http://108.181.20.197/livehttpplay?channel_id=10128
东森新闻,http://108.181.20.197/livehttpplay?channel_id=20082

💝推流秒开,#genre#
CCTV1,http://push-rtmp-hs-spe-f5.douyincdn.com/live/tv1qaz2wsx3edc4rfv5tgb6yhn7ujm8ik9ol0.flv
CCTV2,http://push-rtmp-hs-spe-f5.douyincdn.com/live/tv2wsx3edc4rfv5tgb6yhn7ujm8ik9ol0p1qa.flv
CCTV3,http://push-rtmp-hs-spe-f5.douyincdn.com/live/62wsx3edc4rfv5tgb6yhn7ujm8ik9ol0p1qaz2wsx3edc4rfv5tgb6yhn7ujm8.flv
CCTV4,http://push-rtmp-hs-spe-f5.douyincdn.com/live/tv4rfv5tgb6yhn7ujm8ik9ol0p1qaz2wsx3ed.flv
CCTV5,http://push-rtmp-hs-spe-f5.douyincdn.com/live/61qaz2wsx3edc4rfv5tgb6yhn7ujm8ik9ol0p1qaz2wsx3edc4rfv5tgb6yhn7u.flv
CCTV6,http://push-rtmp-hs-spe-f5.douyincdn.com/live/tv6yhn7ujm8ik9ol0p1qaz2wsx3edc4rfv5tg.flv
CCTV7,http://push-rtmp-hs-spe-f5.douyincdn.com/live/tv7ujm8ik9ol0p1qaz2wsx3edc4rfv5tgb6yh.flv
CCTV8,http://push-rtmp-hs-spe-f5.douyincdn.com/live/tv8ik9ol0p1qaz2wsx3edc4rfv5tgb6yhn7uj.flv
CCTV9,http://push-rtmp-hs-spe-f5.douyincdn.com/live/tv9ol0p1qaz2wsx3edc4rfv5tgb6yhn7ujm8i.flv
CCTV10,http://push-rtmp-hs-spe-f5.douyincdn.com/live/tv10p1qaz2wsx3edc4rfv5tgb6yhn7ujm8ik.flv
CCTV11,http://push-rtmp-hs-spe-f5.douyincdn.com/live/tv11qaz2wsx3edc4rfv5tgb6yhn7ujm8ik9ol.flv
CCTV12,http://push-rtmp-hs-spe-f5.douyincdn.com/live/tv12wsx3edc4rfv5tgb6yhn7ujm8ik9ol0p1q.flv
CCTV13,http://push-rtmp-hs-spe-f5.douyincdn.com/live/tv13edc4rfv5tgb6yhn7ujm8ik9ol0p1qaz2ws6.flv
CCTV14,http://push-rtmp-hs-spe-f5.douyincdn.com/live/tv14rfv5tgb6yhn7ujm8ik9ol0p1qaz2wsx3e.flv
CCTV15,http://push-rtmp-hs-spe-f5.douyincdn.com/live/tv15tgb6yhn7ujm8ik9ol0p1qaz2wsx3edc4r.flv
CCTV17,http://push-rtmp-hs-spe-f5.douyincdn.com/live/tv17ujm8ik9ol0p1qaz2wsx3edc4rfv5tgb6y.flv

CCTV1,http://150.158.112.123/php/dl.php?id=CCTV1
CCTV2,http://150.158.112.123/php/dl.php?id=CCTV2
CCTV3,http://150.158.112.123/php/dl.php?id=CCTV3
CCTV4,http://150.158.112.123/php/dl.php?id=CCTV4
CCTV5,http://150.158.112.123/php/dl.php?id=CCTV5
CCTV6,http://150.158.112.123/php/dl.php?id=CCTV6
CCTV7,http://150.158.112.123/php/dl.php?id=CCTV7
CCTV8,http://150.158.112.123/php/dl.php?id=CCTV8
CCTV9,http://150.158.112.123/php/dl.php?id=CCTV9
CCTV10,http://150.158.112.123/php/dl.php?id=CCTV10
CCTV11,http://150.158.112.123/php/dl.php?id=CCTV11
CCTV12,http://150.158.112.123/php/dl.php?id=CCTV12
CCTV13,http://150.158.112.123/php/dl.php?id=CCTV13
CCTV14,http://150.158.112.123/php/dl.php?id=CCTV14
CCTV15,http://150.158.112.123/php/dl.php?id=CCTV15
CCTV16,http://150.158.112.123/php/dl.php?id=CCTV16
CCTV17,http://150.158.112.123/php/dl.php?id=CCTV17
江苏卫视,http://150.158.112.123/php/dl.php?id=江苏卫视
浙江卫视,http://150.158.112.123/php/dl.php?id=浙江卫视
东方卫视,http://150.158.112.123/php/dl.php?id=东方卫视
北京卫视,http://150.158.112.123/php/dl.php?id=北京卫视
湖南卫视,http://150.158.112.123/php/dl.php?id=湖南卫视
重庆卫视,http://150.158.112.123/php/dl.php?id=重庆卫视
四川卫视,http://150.158.112.123/php/dl.php?id=四川卫视
东南卫视,http://150.158.112.123/php/dl.php?id=东南卫视
湖北卫视,http://150.158.112.123/php/dl.php?id=湖北卫视
黑龙江卫视,http://150.158.112.123/php/dl.php?id=黑龙江卫视
山东卫视,http://150.158.112.123/php/dl.php?id=山东卫视
海南卫视,http://150.158.112.123/php/dl.php?id=海南卫视
深圳卫视,http://150.158.112.123/php/dl.php?id=深圳卫视
西藏卫视,http://150.158.112.123/php/dl.php?id=西藏卫视
大湾区卫视,http://150.158.112.123/php/dl.php?id=大湾区卫视
浙江卫视,http://150.158.112.123/php/dl.php?id=浙江卫视

CCTV1,http://8.138.7.223/tv/dl/douyincdn.php?id=1
CCTV2,http://8.138.7.223/tv/dl/douyincdn.php?id=2
CCTV3,http://8.138.7.223/tv/dl/douyincdn.php?id=3
CCTV4,http://8.138.7.223/tv/dl/douyincdn.php?id=4
CCTV5,http://8.138.7.223/tv/dl/douyincdn.php?id=5
CCTV6,http://8.138.7.223/tv/dl/douyincdn.php?id=6
CCTV7,http://8.138.7.223/tv/dl/douyincdn.php?id=7
CCTV8,http://8.138.7.223/tv/dl/douyincdn.php?id=8
CCTV9,http://8.138.7.223/tv/dl/douyincdn.php?id=9
CCTV10,http://8.138.7.223/tv/dl/douyincdn.php?id=10
